,first_node,second_node,weight,dist,dif_genus_species
0,0.0,137.0,2.0,43.73587877398031,2.0
1,0.0,152.0,4.0,16.377738847168335,2.0
2,0.0,153.0,4.0,11.451128381221125,2.0
3,0.0,189.0,4.0,16.796641088961138,2.0
4,0.0,190.0,2.0,26.29116742324768,2.0
5,1.0,137.0,2.0,43.470596562869815,2.0
6,1.0,152.0,2.0,25.013647250462228,2.0
7,1.0,153.0,4.0,13.518183806747484,2.0
8,1.0,189.0,2.0,28.150100151434735,2.0
9,1.0,190.0,4.0,18.57217348818546,2.0
10,2.0,12.0,4.0,24.95238901595873,2.0
11,2.0,152.0,2.0,49.344658121932426,2.0
12,2.0,153.0,2.0,37.06953067567503,2.0
13,2.0,154.0,4.0,24.95238901595873,2.0
14,2.0,190.0,2.0,26.093984731006792,2.0
15,3.0,12.0,4.0,13.466107429594485,2.0
16,3.0,153.0,2.0,47.74771393275013,2.0
17,3.0,154.0,4.0,13.466107429594485,2.0
18,3.0,190.0,2.0,34.86499603799241,2.0
19,4.0,12.0,4.0,7.317961834326428,2.0
20,4.0,154.0,4.0,7.317961834326428,2.0
21,4.0,190.0,2.0,45.28237299151872,2.0
22,5.0,12.0,4.0,10.0655605344123,2.0
23,5.0,154.0,4.0,10.0655605344123,2.0
24,6.0,12.0,4.0,21.17091059420752,2.0
25,6.0,154.0,4.0,21.17091059420752,2.0
26,7.0,8.0,4.0,18.22144423096746,2.0
27,7.0,9.0,2.0,31.87545350377121,2.0
28,7.0,11.0,2.0,40.27230660103663,2.0
29,7.0,140.0,2.0,47.955155438729996,2.0
30,7.0,183.0,2.0,31.173370141581795,2.0
31,8.0,11.0,2.0,25.971044883385236,2.0
32,8.0,140.0,2.0,41.38929491518823,2.0
33,8.0,183.0,2.0,42.03195532244539,2.0
34,9.0,11.0,2.0,35.73333148077828,2.0
35,10.0,11.0,2.0,48.00836839839709,2.0
36,11.0,183.0,2.0,48.5997328663828,2.0
37,11.0,508.0,2.0,47.03777740037525,2.0
38,12.0,142.0,2.0,49.75678718410389,2.0
39,12.0,143.0,2.0,38.296101741886595,2.0
40,12.0,144.0,2.0,34.56238396829631,2.0
41,12.0,145.0,2.0,47.470798867153256,2.0
42,12.0,184.0,2.0,41.385217007018696,2.0
43,12.0,185.0,2.0,41.836062409376936,2.0
44,12.0,190.0,2.0,46.23892125367598,2.0
45,14.0,17.0,2.0,43.669639670507934,2.0
46,15.0,17.0,2.0,31.522511464905495,2.0
47,15.0,18.0,2.0,40.014683294778806,2.0
48,16.0,17.0,4.0,15.801392132655488,2.0
49,16.0,18.0,4.0,24.294512468111854,2.0
50,16.0,89.0,2.0,47.73283143145974,2.0
51,16.0,91.0,2.0,45.19145694092403,2.0
52,16.0,92.0,2.0,44.53690761684708,2.0
53,16.0,93.0,2.0,36.795571020634725,2.0
54,17.0,18.0,4.0,8.493162633149902,2.0
55,17.0,19.0,4.0,14.636422540168608,2.0
56,17.0,20.0,4.0,11.924213504436846,2.0
57,17.0,21.0,4.0,14.793656705090022,2.0
58,17.0,22.0,4.0,20.399227054189733,2.0
59,17.0,23.0,2.0,28.23462003948053,2.0
60,17.0,24.0,2.0,33.82747872167233,2.0
61,17.0,25.0,2.0,44.31097374829986,2.0
62,17.0,29.0,2.0,36.88191816440525,2.0
63,17.0,86.0,2.0,41.84790190666243,2.0
64,17.0,87.0,2.0,39.035332148189504,2.0
65,17.0,88.0,2.0,38.07328781509518,2.0
66,17.0,89.0,2.0,33.783560129308746,2.0
67,17.0,90.0,2.0,31.537125505524283,2.0
68,17.0,91.0,2.0,29.70920113174098,2.0
69,17.0,92.0,2.0,28.819019032524626,2.0
70,17.0,93.0,4.0,24.42105554892405,2.0
71,18.0,19.0,4.0,12.218173943244036,2.0
72,18.0,20.0,4.0,15.337573749429668,2.0
73,18.0,21.0,4.0,20.84237309021429,2.0
74,18.0,22.0,2.0,27.729969413367495,2.0
75,18.0,23.0,2.0,36.135910140485215,2.0
76,18.0,24.0,2.0,41.92540640536091,2.0
77,18.0,29.0,2.0,29.175110680735127,2.0
78,18.0,86.0,2.0,36.70291539780226,2.0
79,18.0,87.0,2.0,33.54462870880903,2.0
80,18.0,88.0,2.0,32.381580151300994,2.0
81,18.0,89.0,2.0,27.115301407416958,2.0
82,18.0,90.0,4.0,24.15229040436834,2.0
83,18.0,91.0,4.0,21.568401241987115,2.0
84,18.0,92.0,4.0,20.418161886090218,2.0
85,19.0,29.0,2.0,26.193498576008444,2.0
86,19.0,86.0,2.0,47.66145404522103,2.0
87,19.0,87.0,2.0,44.29791908704045,2.0
88,19.0,89.0,2.0,36.840475016814025,2.0
89,19.0,91.0,2.0,28.420295450649046,2.0
90,19.0,92.0,2.0,25.889873929104947,2.0
91,19.0,93.0,2.0,31.585639683390994,2.0
92,20.0,29.0,2.0,35.49980730118866,2.0
93,20.0,87.0,2.0,48.85111892782861,2.0
94,20.0,89.0,2.0,42.3771703434938,2.0
95,20.0,91.0,2.0,35.59191210743042,2.0
96,20.0,92.0,2.0,33.581847769469675,2.0
97,20.0,93.0,2.0,34.828786830926354,2.0
98,21.0,29.0,2.0,42.69089569493547,2.0
99,21.0,89.0,2.0,47.84638537843648,2.0
100,21.0,91.0,2.0,41.99152674206087,2.0
101,21.0,92.0,2.0,40.23581505716859,2.0
102,21.0,93.0,2.0,39.154123638986015,2.0
103,22.0,91.0,2.0,49.23116870490107,2.0
104,22.0,92.0,2.0,47.71872016875836,2.0
105,22.0,93.0,2.0,44.54633573035972,2.0
106,29.0,86.0,2.0,45.2540021972323,2.0
107,29.0,87.0,2.0,41.7714041134232,2.0
108,29.0,88.0,2.0,40.227060530817155,2.0
109,29.0,89.0,2.0,33.000436498656626,2.0
110,29.0,90.0,2.0,27.956737349558566,2.0
111,29.0,91.0,4.0,21.655031306497037,2.0
112,29.0,92.0,4.0,18.21846256499559,2.0
113,29.0,93.0,2.0,36.831327208994296,2.0
114,31.0,32.0,4.0,15.92779190678725,2.0
115,31.0,33.0,4.0,20.639318703902752,2.0
116,31.0,34.0,2.0,26.926160648538517,2.0
117,31.0,35.0,2.0,33.660140452327994,2.0
118,31.0,36.0,2.0,41.44075884720796,2.0
119,31.0,37.0,1.0,44.9897017365013,1.0
120,31.0,38.0,1.0,49.41866372514566,1.0
121,31.0,55.0,2.0,48.85470858256058,2.0
122,31.0,56.0,2.0,42.54030340288489,2.0
123,31.0,57.0,2.0,38.009492388971495,2.0
124,31.0,58.0,2.0,29.990179945913106,2.0
125,31.0,59.0,2.0,25.806103819267513,2.0
126,31.0,802.0,2.0,35.626661532943274,2.0
127,31.0,803.0,2.0,34.36277088259653,2.0
128,31.0,807.0,2.0,35.870651162200524,2.0
129,31.0,836.0,2.0,39.6352514462961,2.0
130,31.0,837.0,1.0,48.39391401915927,1.0
131,31.0,838.0,2.0,45.27085918641724,2.0
132,31.0,839.0,2.0,41.31187577254374,2.0
133,31.0,840.0,2.0,31.46323414125402,2.0
134,32.0,37.0,2.0,32.0183392355762,2.0
135,32.0,38.0,2.0,36.482728020543426,2.0
136,32.0,39.0,2.0,42.35180909523598,2.0
137,32.0,40.0,2.0,47.83544773732613,2.0
138,32.0,54.0,2.0,41.44592266957349,2.0
139,32.0,55.0,2.0,33.553947587972324,2.0
140,32.0,56.0,2.0,26.897643314879573,2.0
141,32.0,57.0,4.0,22.082223247356765,2.0
142,32.0,58.0,4.0,14.514181724461702,2.0
143,32.0,59.0,4.0,13.05953617408303,2.0
144,32.0,802.0,2.0,37.16085882385933,2.0
145,32.0,803.0,2.0,32.594497634962195,2.0
146,32.0,804.0,2.0,44.67011095648079,2.0
147,32.0,805.0,2.0,49.50789079198645,2.0
148,32.0,806.0,2.0,37.9282428297896,2.0
149,32.0,807.0,4.0,20.528743061172783,2.0
150,32.0,836.0,2.0,36.89036361344647,2.0
151,32.0,837.0,2.0,40.601069206869205,2.0
152,32.0,838.0,2.0,36.43514432447696,2.0
153,32.0,839.0,2.0,29.7743554867093,2.0
154,32.0,840.0,4.0,17.962804761221978,2.0
155,33.0,37.0,2.0,26.072278380980023,2.0
156,33.0,38.0,2.0,30.537916776254544,2.0
157,33.0,39.0,2.0,36.40709369630211,2.0
158,33.0,40.0,2.0,41.8903962054724,2.0
159,33.0,54.0,2.0,35.908424856454666,2.0
160,33.0,55.0,2.0,28.233153964048554,2.0
161,33.0,56.0,4.0,21.951500409745822,2.0
162,33.0,57.0,4.0,18.199842959019076,2.0
163,33.0,58.0,4.0,13.000029707550317,2.0
164,33.0,59.0,4.0,15.10096925355859,2.0
165,33.0,802.0,2.0,42.48979281481041,2.0
166,33.0,803.0,2.0,37.41477461724704,2.0
167,33.0,804.0,2.0,47.79668381170884,2.0
168,33.0,806.0,2.0,37.73256775178397,2.0
169,33.0,807.0,4.0,18.74811674653106,2.0
170,33.0,836.0,2.0,41.36433879935648,2.0
171,33.0,837.0,2.0,43.346331808621315,2.0
172,33.0,838.0,2.0,38.86531168350808,2.0
173,33.0,839.0,2.0,31.068793191324346,2.0
174,33.0,840.0,4.0,18.666471610449022,2.0
175,34.0,37.0,4.0,19.139959558829464,2.0
176,34.0,38.0,4.0,23.60092280152254,2.0
177,34.0,39.0,2.0,29.46979539025563,2.0
178,34.0,40.0,2.0,34.9537401733812,2.0
179,34.0,54.0,2.0,29.467007035914687,2.0
180,34.0,55.0,4.0,22.188361532915554,2.0
181,34.0,56.0,4.0,16.698851643950384,2.0
182,34.0,57.0,4.0,15.040626780801844,2.0
183,34.0,58.0,4.0,14.120180837600152,2.0
184,34.0,59.0,4.0,19.339391767300327,2.0
185,34.0,802.0,2.0,48.73619024767155,2.0
186,34.0,803.0,2.0,43.198026944496185,2.0
187,34.0,806.0,2.0,38.28209817742163,2.0
188,34.0,807.0,4.0,18.559664177853502,2.0
189,34.0,836.0,2.0,46.77284081167524,2.0
190,34.0,837.0,2.0,46.97809276952773,2.0
191,34.0,838.0,2.0,42.25587829670278,2.0
192,34.0,839.0,2.0,33.5057708618231,2.0
193,34.0,840.0,4.0,21.29342365993408,2.0
194,35.0,37.0,4.0,11.615993217570233,2.0
195,35.0,38.0,4.0,16.093269981824783,2.0
196,35.0,39.0,4.0,21.958176025369145,2.0
197,35.0,40.0,2.0,27.435671747986635,2.0
198,35.0,53.0,2.0,48.24993829177718,2.0
199,35.0,54.0,4.0,23.514007994898936,2.0
200,35.0,55.0,4.0,17.401928915295596,2.0
201,35.0,56.0,4.0,14.125565818378497,2.0
202,35.0,57.0,4.0,16.049995035571214,2.0
203,35.0,58.0,4.0,19.316146644634106,2.0
204,35.0,59.0,2.0,25.951642942798816,2.0
205,35.0,806.0,2.0,41.37303942358336,2.0
206,35.0,807.0,4.0,22.15633678186979,2.0
207,35.0,838.0,2.0,47.72286308290357,2.0
208,35.0,839.0,2.0,38.40496637298332,2.0
209,35.0,840.0,2.0,26.840902521887546,2.0
210,36.0,37.0,4.0,4.130691489582843,2.0
211,36.0,38.0,4.0,8.474130594871815,2.0
212,36.0,39.0,4.0,14.325643135635408,2.0
213,36.0,40.0,4.0,19.807441523721813,2.0
214,36.0,53.0,2.0,40.4785291664357,2.0
215,36.0,54.0,4.0,16.734564089867373,2.0
216,36.0,55.0,4.0,12.585001014608563,2.0
217,36.0,56.0,4.0,12.938707832994972,2.0
218,36.0,57.0,4.0,18.12563254068759,2.0
219,36.0,58.0,4.0,24.457396153919376,2.0
220,36.0,59.0,2.0,32.02268452609684,2.0
221,36.0,806.0,2.0,43.38956641122212,2.0
222,36.0,807.0,2.0,25.690812551009262,2.0
223,36.0,839.0,2.0,42.36237765688813,2.0
224,36.0,840.0,2.0,31.841967256959233,2.0
225,37.0,39.0,4.0,10.342245501952586,2.0
226,37.0,40.0,4.0,15.821505322986233,2.0
227,37.0,53.0,2.0,37.12321823460843,2.0
228,37.0,54.0,4.0,15.365563122216292,2.0
229,37.0,55.0,4.0,13.440647107422324,2.0
230,37.0,56.0,4.0,15.736502752275259,2.0
231,37.0,57.0,4.0,21.666693521808284,2.0
232,37.0,58.0,2.0,28.490604351211633,2.0
233,37.0,59.0,2.0,36.13126552730329,2.0
234,37.0,806.0,2.0,46.5430640400057,2.0
235,37.0,807.0,2.0,29.43165529510746,2.0
236,37.0,839.0,2.0,46.085513397378996,2.0
237,37.0,840.0,2.0,35.821659684480856,2.0
238,38.0,39.0,4.0,5.869189580306104,2.0
239,38.0,40.0,4.0,11.352817726653122,2.0
240,38.0,53.0,2.0,32.86849796195707,2.0
241,38.0,54.0,4.0,13.489156768673839,2.0
242,38.0,55.0,4.0,14.193293544912763,2.0
243,38.0,56.0,4.0,18.27563135410361,2.0
244,38.0,57.0,4.0,24.8648128237538,2.0
245,38.0,58.0,2.0,32.378642662401006,2.0
246,38.0,59.0,2.0,40.20583248033937,2.0
247,38.0,806.0,2.0,49.00344574306583,2.0
248,38.0,807.0,2.0,32.81501677733517,2.0
249,38.0,839.0,2.0,49.35836919473582,2.0
250,38.0,840.0,2.0,39.573331741827026,2.0
251,39.0,41.0,2.0,47.65403982553463,2.0
252,39.0,53.0,2.0,27.580464053387367,2.0
253,39.0,54.0,4.0,13.507055868588777,2.0
254,39.0,55.0,4.0,17.32914382097166,2.0
255,39.0,56.0,4.0,22.779660356949496,2.0
256,39.0,57.0,2.0,29.777648836137022,2.0
257,39.0,58.0,2.0,37.824870487419425,2.0
258,39.0,59.0,2.0,45.7896652161344,2.0
259,39.0,807.0,2.0,37.807647954954255,2.0
260,39.0,840.0,2.0,44.86940616375861,2.0
261,40.0,41.0,2.0,42.174773126109095,2.0
262,40.0,52.0,2.0,47.099706796120785,2.0
263,40.0,53.0,4.0,22.97116948838561,2.0
264,40.0,54.0,4.0,15.764963346215271,2.0
265,40.0,55.0,4.0,21.40708293926387,2.0
266,40.0,56.0,2.0,27.51837057811009,2.0
267,40.0,57.0,2.0,34.69242908278281,2.0
268,40.0,58.0,2.0,43.05238228260231,2.0
269,40.0,807.0,2.0,42.72954847330388,2.0
270,40.0,840.0,2.0,49.97964694865885,2.0
271,41.0,42.0,4.0,10.791074042368903,2.0
272,41.0,43.0,2.0,26.17645851046546,2.0
273,41.0,45.0,2.0,49.66514497510858,2.0
274,41.0,49.0,2.0,39.940417530647956,2.0
275,41.0,50.0,2.0,34.1975959301399,2.0
276,41.0,51.0,2.0,28.099262578964357,2.0
277,41.0,53.0,2.0,26.3570046654363,2.0
278,42.0,43.0,3.0,15.594824219750594,1.0
279,42.0,44.0,2.0,27.838736684691103,2.0
280,42.0,45.0,2.0,38.89560459065975,2.0
281,42.0,49.0,2.0,30.156237162522366,2.0
282,42.0,50.0,4.0,24.865737839656266,2.0
283,42.0,51.0,4.0,19.480896353974458,2.0
