,Latitude,Longitude,genus,species,id
0,37.881405932,-122.269947734,Ginkgo,biloba,0
1,37.881301035999996,-122.269876345,Ginkgo,biloba,1
2,37.88109164,-122.26970755,Ginkgo,biloba,2
3,37.881012457,-122.269623273,Ginkgo,biloba,3
4,37.880920392,-122.26959947799999,Ginkgo,biloba,4
5,37.880841889,-122.269559872,Ginkgo,biloba,5
6,37.880736435,-122.269542885,Ginkgo,biloba,6
7,37.880417609,-122.26946162200001,Ginkgo,biloba,7
8,37.88026828,-122.269546978,Acer,palmatum,8
9,37.880244858000005,-122.269751326,Acer,palmatum,9
10,37.880095799,-122.26996581799999,Acer,palmatum,10
11,37.880056943,-122.269421188,Fraxinus,angustifolia,11
12,37.880925623,-122.269516384,Liquidambar,styraciflua,12
13,37.886560895,-122.268889065,Acer,palmatum,13
14,37.886390355,-122.268833409,Acer,palmatum,14
15,37.886280548,-122.26883517899999,Acer,palmatum,15
16,37.886139852,-122.26881772600001,Acer,palmatum,16
17,37.885998881999996,-122.268795418,Cinnamomum,camphora,17
18,37.885923149,-122.268783052,Pyrus,calleryana,18
19,37.885912893000004,-122.26892162899999,Acer,palmatum,19
20,37.885996235,-122.26893121299999,Acer,palmatum,20
21,37.88606021,-122.26894495799999,Acer,palmatum,21
22,37.886132484,-122.268954619,Acer,palmatum,22
23,37.886214563,-122.268965036,Acer,palmatum,23
24,37.88627,-122.268970029,Acer,palmatum,24
25,37.886367633,-122.268986461,Acer,palmatum,25
26,37.886441798,-122.26899758799999,Acer,palmatum,26
27,37.886548887,-122.269007935,Acer,palmatum,27
28,37.886714841999996,-122.269027707,Acer,palmatum,28
29,37.885677953000005,-122.268901114,Quercus,agrifolia,29
30,37.885752546,-122.269528506,Platanus,hybrida,30
31,37.883764682,-122.269969354,Ulmus,parvifolia,31
32,37.883668386,-122.26983506399999,Zelkova,serrata,32
33,37.883615055,-122.269830301,Zelkova,serrata,33
34,37.88355316,-122.269820173,Zelkova,serrata,34
35,37.883484981,-122.269822957,Zelkova,serrata,35
36,37.883417968,-122.269796531,Zelkova,serrata,36
37,37.88338148,-122.269805294,Ulmus,americana,37
38,37.88334178,-122.26979673,Ulmus,americana,38
39,37.88328927,-122.26979012700001,Prunus,cerasifera,39
40,37.883240101999995,-122.269785414,Prunus,cerasifera,40
41,37.882863719,-122.269727172,Zelkova,serrata,41
42,37.882766702,-122.269726373,Ulmus,parvifolia,42
43,37.882631314,-122.269680195,Ulmus,americana,43
44,37.882517191999995,-122.26970137200001,Zelkova,serrata,44
45,37.882418065,-122.269691889,Alnus,rhombifolia,45
46,37.88231466,-122.269661216,Alnus,rhombifolia,46
47,37.88223067,-122.269639321,Pyrus,kawakamii,47
48,37.882132695,-122.269622932,Alnus,rhombifolia,48
49,37.882530364000004,-122.269558034,Acer,rubrum,49
50,37.882586461,-122.269558803,Acer,rubrum,50
51,37.882645205,-122.269566537,Acer,rubrum,51
52,37.882846228000005,-122.269588396,Zelkova,serrata,52
53,37.883083479,-122.269614851,Celtis,sinensis,53
54,37.883327592,-122.269644127,Acer,rubrum,54
55,37.883402489,-122.26965452,Acer,rubrum,55
56,37.883468029,-122.269663489,Acer,rubrum,56
57,37.883533326999995,-122.26965069399999,Acer,rubrum,57
58,37.883618516,-122.269682279,Acer,rubrum,58
59,37.883693243,-122.26968967100001,Acer,rubrum,59
60,37.884925001,-122.269832736,Platanus,hybrida,60
61,37.885116319,-122.269852249,Platanus,hybrida,61
62,37.885330120999996,-122.26987722700001,Platanus,hybrida,62
63,37.88512675,-122.269972364,Platanus,hybrida,63
64,37.884825399,-122.269964622,Prunus,cerasifera,64
65,37.884762664,-122.269955845,Prunus,cerasifera,65
66,37.88469697,-122.269942793,Sequoia,sempervirens,66
